term,categories,variant_names,talmud_corpus_count,wikipedia_en,wikipedia_he,selected_anchor_text,hebrew_term,chavrutai_search_url,wiki_match_source,wikidata_id,father,student_of,affiliation,student,date_of_birth,place_of_birth,date_of_death,place_of_death
4th-year,concepts,,0,,,,,https://chavrutai.com/search?q=4th-year&type=talmud,,,,,,,,,,
A certain apostate,names,,2,,,,,https://chavrutai.com/search?q=A+certain+apostate&type=talmud,,,,,,,,,,
a certain Arab,names,,18,,,,,https://chavrutai.com/search?q=a+certain+Arab&type=talmud,,,,,,,,,,
a certain army,names,,2,,,,,https://chavrutai.com/search?q=a+certain+army&type=talmud,,,,,,,,,,
a certain blind man,names,,0,,,,,https://chavrutai.com/search?q=a+certain+blind+man&type=talmud,,,,,,,,,,
a certain butcher,names,,4,,,,,https://chavrutai.com/search?q=a+certain+butcher&type=talmud,,,,,,,,,,
a certain child,names,,5,,,,,https://chavrutai.com/search?q=a+certain+child&type=talmud,,,,,,,,,,
a certain demon,names,,1,,,,,https://chavrutai.com/search?q=a+certain+demon&type=talmud,,,,,,,,,,
a certain disciple,names,,6,,,,,https://chavrutai.com/search?q=a+certain+disciple&type=talmud,,,,,,,,,,
a certain disciple from among the disciples of Beit Hillel,names,,1,,,,,https://chavrutai.com/search?q=a+certain+disciple+from+among+the+disciples+of+Beit+Hillel&type=talmud,,,,,,,,,,
A certain disciple from among the disciples of Beit Shammai,names,,1,,,,,https://chavrutai.com/search?q=A+certain+disciple+from+among+the+disciples+of+Beit+Shammai&type=talmud,,,,,,,,,,
a certain doctor,names,,1,,,,,https://chavrutai.com/search?q=a+certain+doctor&type=talmud,,,,,,,,,,
A certain elder,names,,31,,,,,https://chavrutai.com/search?q=A+certain+elder&type=talmud,,,,,,,,,,
A certain Elder of the disciples of Shammai the Elder,names,,2,,,,,https://chavrutai.com/search?q=A+certain+Elder+of+the+disciples+of+Shammai+the+Elder&type=talmud,,,,,,,,,,
a certain elderly man,names,,4,,,,,https://chavrutai.com/search?q=a+certain+elderly+man&type=talmud,,,,,,,,,,
a certain elderly slave,names,,1,,,,,https://chavrutai.com/search?q=a+certain+elderly+slave&type=talmud,,,,,,,,,,
A certain elderly woman,names,,1,,,,,https://chavrutai.com/search?q=A+certain+elderly+woman&type=talmud,,,,,,,,,,
a certain emperor,names,,1,,,,,https://chavrutai.com/search?q=a+certain+emperor&type=talmud,,,,,,,,,,
a certain eulogizer,names,,3,,,,,https://chavrutai.com/search?q=a+certain+eulogizer&type=talmud,,,,,,,,,,
A certain eunuch,names,,1,,,,,https://chavrutai.com/search?q=A+certain+eunuch&type=talmud,,,,,,,,,,
a certain family in Jerusalem,names,,2,,,,,https://chavrutai.com/search?q=a+certain+family+in+Jerusalem&type=talmud,,,,,,,,,,
a certain female convert,names,,1,,,,,https://chavrutai.com/search?q=a+certain+female+convert&type=talmud,,,,,,,,,,
a certain female owner of a wine shop,names,,1,,,,,https://chavrutai.com/search?q=a+certain+female+owner+of+a+wine+shop&type=talmud,,,,,,,,,,
A certain Galilean,names,,3,,,,,https://chavrutai.com/search?q=A+certain+Galilean&type=talmud,,,,,,,,,,
a certain gentile,names,,21,,,,,https://chavrutai.com/search?q=a+certain+gentile&type=talmud,,,,,,,,,,
a certain gentile woman,names,,4,,,,,https://chavrutai.com/search?q=a+certain+gentile+woman&type=talmud,,,,,,,,,,
a certain girl,names,,4,,,,,https://chavrutai.com/search?q=a+certain+girl&type=talmud,,,,,,,,,,
a certain guarantor,names,,3,,,,,https://chavrutai.com/search?q=a+certain+guarantor&type=talmud,,,,,,,,,,
a certain herdsman,names,,1,,,,,https://chavrutai.com/search?q=a+certain+herdsman&type=talmud,,,,,,,,,,
a certain heretic,names,,22,,,,,https://chavrutai.com/search?q=a+certain+heretic&type=talmud,,,,,,,,,,
A certain heretic named Sason,names,,1,,,,,https://chavrutai.com/search?q=A+certain+heretic+named+Sason&type=talmud,,,,,,,,,,
a certain High Priest,names,,1,,,,,https://chavrutai.com/search?q=a+certain+High+Priest&type=talmud,,,,,,,,,,
a certain imbecile,names,,1,,,,,https://chavrutai.com/search?q=a+certain+imbecile&type=talmud,,,,,,,,,,
a certain individual,names,,1,,,,,https://chavrutai.com/search?q=a+certain+individual&type=talmud,,,,,,,,,,
a certain Jew,names,,5,,,,,https://chavrutai.com/search?q=a+certain+Jew&type=talmud,,,,,,,,,,
a certain judge,names,,2,,,,,https://chavrutai.com/search?q=a+certain+judge&type=talmud,,,,,,,,,,
a certain launderer,names,,4,,,,,https://chavrutai.com/search?q=a+certain+launderer&type=talmud,,,,,,,,,,
a certain Madonite,names,,1,,,,,https://chavrutai.com/search?q=a+certain+Madonite&type=talmud,,,,,,,,,,
